Energy Balances - EurostatEnTable
Energy balances,,,,,,,,,,,,,,
European Union (27 countries) - Total - main fuel families,,,,,,,,,,,,,,
Year                     : 2023                                          Unit                     : GWH,,Total,Solid fossil fuels,Manufactured gases,Peat and peat products,Oil shale and oil sands,Natural gas,Oil and petroleum products (excluding biofuel portion),Renewables and biofuels,Non-renewable waste,Nuclear heat,Electricity,Heat,
Total energy supply,NRGSUP,14 671 899,1 460 510,0,10 866,27 417,3 170 374,4 965 583,3 030 033,162 143,1 836 966,-445,8 452,
Primary production,PPRD,6 432 983,878 492,0,5 836,30 762,341 442,219 148,2 956 950,154 990,1 836 966,0,8 398,
Recovered and recycled products,RCV_RCY,18 861,3 257,0,0,0,0,15 604,0,0,0,0,0,
Imports,IMP,14 140 780,761 247,0,334,0,3 480 762,9 248 224,235 967,7 344,0,406 836,65,
Exports,EXP,5 051 956,165 409,0,104,0,623 841,3 690 966,164 094,251,0,407 281,11,
Change in stock,STK_CHG,34 595,-17 077,0,4 800,-3 345,-22 933,66 762,6 329,59,0,0,0,
Gross available energy,GAE,15 575 263,1 460 510,0,10 866,27 417,3 175 430,5 858 772,3 035 152,162 143,1 836 966,-445,8 452,
International maritime bunkers,INTMARB,457 104,0,0,0,0,5 056,448 209,3 840,0,0,0,0,
Gross inland consumption,GIC,15 118 159,1 460 510,0,10 866,27 417,3 170 374,5 410 563,3 031 313,162 143,1 836 966,-445,8 452,
International aviation,INTAVI,446 260,0,0,0,0,0,444 980,1 279,0,0,0,0,
Transformation input - energy use,TI_E,14 260 665,1 545 389,66 567,7 185,28 357,1 003 090,7 660 368,1 943 853,105 298,1 836 966,50 707,12 887,
Transformation input - electricity and heat generation - energy use,TI_EHG_E,5 826 358,909 555,66 567,6 953,6 084,986 324,142 689,1 702 328,105 298,1 836 966,50 707,12 887,
Transformation input - electricity and heat generation - main activity producer electricity only - energy use,TI_EHG_MAPE_E,3 942 010,487 455,13 024,401,5 366,374 910,65 018,1 141 263,20 677,1 833 895,0,0,
Transformation input - electricity and heat generation - main activity producer combined heat and power - energy use,TI_EHG_MAPCHP_E,1 025 002,371 931,11 879,4 292,692,348 060,9 124,243 435,35 516,0,0,74,
Transformation input - electricity and heat generation - main activity producer heat only - energy use,TI_EHG_MAPH_E,201 558,24 162,791,1 951,0,64 456,8 934,89 914,8 279,3 071,0,0,
